menu_id	label	link	icon	parent	sort	time	status
122	leave_category	admin/settings/leave_category	fa fa-fw fa-pagelines	25	23	2023-08-01 04:46:59	2
123	income_category	admin/settings/income_category	fa fa-fw fa-certificate	25	24	2023-08-01 04:46:59	2
124	expense_category	admin/settings/expense_category	fa fa-fw fa-tasks	25	25	2023-08-01 04:46:59	2
125	customer_group	admin/settings/customer_group	fa fa-fw fa-users	25	26	2023-08-01 04:46:59	2
127	lead_status	admin/settings/lead_status	fa fa-fw fa-list-ul	25	16	2023-08-01 04:46:59	2
128	lead_source	admin/settings/lead_source	fa fa-fw fa-arrow-down	25	17	2023-08-01 04:46:59	2
129	opportunities_state_reason	admin/settings/opportunities_state_reason	fa fa-fw fa-dot-circle-o	25	19	2023-08-01 04:46:59	2
130	custom_field	admin/settings/custom_field	fa fa-fw fa-star-o	25	28	2023-08-01 04:46:59	2
131	payment_method	admin/settings/payment_method	fa fa-fw fa-money	25	29	2023-08-01 04:46:59	2
132	cronjob	admin/settings/cronjob	fa fa-fw fa-contao	25	31	2023-08-01 04:46:59	2
133	menu_allocation	admin/settings/menu_allocation	fa fa-fw fa fa-compass	25	32	2023-08-01 04:46:59	2
134	notification	admin/settings/notification	fa fa-fw fa-bell-o	25	33	2023-08-01 04:46:59	2
135	email_notification	admin/settings/email_notification	fa fa-fw fa-bell-o	25	34	2023-08-01 04:46:59	2
136	database_backup	admin/settings/database_backup	fa fa-fw fa-database	25	35	2023-08-01 04:46:59	2
137	translations	admin/settings/translations	fa fa-fw fa-language	25	36	2023-08-01 04:46:59	2
138	system_update	admin/settings/system_update	fa fa-fw fa-pencil-square-o	25	37	2023-08-01 04:46:59	2
139	private_chat	chat/conversations	fa fa-envelope	0	28	2023-08-01 04:46:59	1
140	proposals	admin/proposals	fa fa-circle-o	12	4	2023-08-01 04:46:59	1
141	knowledgebase	#	fa fa-question-circle	0	11	2023-08-01 04:46:59	1
142	categories	admin/knowledgebase/categories	fa fa-circle-o	141	2	2023-08-01 04:46:59	1
143	articles	admin/knowledgebase/articles	fa fa-circle-o	141	1	2023-08-01 04:46:59	1
144	knowledgebase	admin/knowledgebase	fa fa-circle-o	141	0	2023-08-01 04:46:59	1
145	dashboard_settings	admin/settings/dashboard	fa fa-fw fa-dashboard	25	21	2023-08-01 04:46:59	2
146	transactions_reports	#	fa fa-building-o	42	1	2023-08-01 04:46:59	1
147	sales	admin/report/sales_report	fa fa-shopping-cart	42	0	2023-08-01 04:46:59	1
